name,team,pos,gp,mpg,fgp,fga,ftp,fta,tpm,pts,reb,ast,stl,blk,tov
LaMelo Ball,MIN,PG,58,33,0.420,20.5,0.840,5.5,3.6,25.5,5.0,7.5,1.2,0.3,3.7
Tyler Herro,MIL,"SG,PG",70,34,0.450,19.0,0.880,4.5,3.3,24.5,4.8,5.5,0.9,0.2,2.9
Jaylen Brown,PHI,"SG,SF,PF",68,33,0.480,17.5,0.720,5.0,1.9,22.0,5.5,3.8,1.1,0.4,2.6
Cooper Flagg,DAL,"SG,SF,PF",74,34,0.480,16.5,0.780,5.0,1.7,21.0,8.5,4.5,1.4,1.2,2.6
Kevin Durant,HOU,"SF,PF,SG",62,33,0.520,17.0,0.880,5.5,2.2,24.0,5.5,3.8,0.7,0.9,2.8
Stephen Curry,GSW,PG,62,32,0.450,18.0,0.920,4.5,4.4,23.5,4.3,5.5,1.1,0.3,2.8
Jaren Jackson Jr,UTA,"C,PF",68,32,0.490,15.5,0.790,5.5,1.7,21.0,6.0,1.8,1.1,1.7,1.9
Zion Williamson,NOP,"PF,C",50,32,0.580,17.0,0.690,7.5,0.1,24.5,7.5,4.8,1.0,0.7,3.2
Joel Embiid,PHI,C,45,30,0.490,17.0,0.870,8.5,1.3,25.0,9.0,3.8,0.9,1.3,3.3
James Harden,CLE,"SG,PG",68,33,0.420,15.5,0.870,7.0,2.8,20.5,5.0,7.8,1.3,0.6,3.9
Anthony Davis,WAS,"PF,C",55,33,0.520,17.0,0.780,7.0,0.8,24.0,11.5,3.2,1.1,2.0,2.2
Ja Morant,POR,PG,60,32,0.460,18.5,0.770,6.5,1.6,23.5,4.2,7.6,0.9,0.3,3.2
Kyrie Irving,DAL,PG,60,33,0.480,17.5,0.900,4.5,2.9,23.0,4.5,5.0,1.2,0.4,2.3
Jalen Johnson,ATL,"PF,SF",65,34,0.510,15.0,0.740,4.5,1.4,19.5,9.5,5.5,1.3,0.9,2.7
Deni Avdija,POR,"SF,PF,SG",72,33,0.480,15.0,0.780,5.5,1.6,19.5,7.5,4.5,1.1,0.5,2.6
Franz Wagner,ORL,"SF,PF",74,34,0.470,17.0,0.800,6.0,1.4,22.0,5.8,5.5,1.3,0.3,2.9
Paolo Banchero,ORL,PF,70,34,0.470,18.5,0.740,7.0,1.4,24.0,7.8,4.8,0.9,0.6,3.1
Desmond Bane,ORL,"SF,SG",72,33,0.470,16.0,0.870,4.0,2.9,20.5,4.8,4.5,1.1,0.4,2.5
Tyrese Haliburton,IND,"PG,SG",60,31,0.460,15.0,0.860,3.5,2.6,18.5,3.5,8.5,1.1,0.6,2.2
Darius Garland,LAC,PG,70,34,0.460,17.0,0.880,4.5,3.0,22.5,3.0,7.8,1.3,0.1,2.9
Alperen Sengun,HOU,"C,PF",72,33,0.520,15.5,0.720,5.5,0.4,19.5,10.0,5.5,1.1,0.9,2.9
Amen Thompson,HOU,"PG,SG",72,33,0.550,13.5,0.700,4.5,0.3,16.5,8.5,4.5,1.6,1.2,2.2
Lauri Markkanen,UTA,"PF,SF",66,33,0.450,16.5,0.870,5.5,2.7,21.5,7.0,2.0,0.8,0.5,1.9
Walker Kessler,LAL,C,72,30,0.660,8.5,0.620,3.0,0.0,11.5,11.0,1.5,0.6,2.6,1.4
Kel'el Ware,MIL,C,72,30,0.570,11.0,0.700,2.5,0.7,14.5,10.5,1.5,0.7,1.8,1.6
Rudy Gobert,MIN,C,68,31,0.660,7.5,0.650,4.0,0.0,11.0,10.8,1.4,0.7,1.8,1.6
Myles Turner,MIL,C,68,30,0.490,11.5,0.800,3.0,1.9,15.0,7.0,1.6,0.7,2.0,1.5
Ivica Zubac,IND,C,72,31,0.620,11.0,0.660,4.0,0.0,15.5,11.5,2.4,0.5,1.2,1.7
Jarrett Allen,CLE,C,72,30,0.630,9.5,0.720,3.5,0.0,13.5,10.0,2.5,0.8,1.0,1.5
Nic Claxton,CHI,C,68,30,0.620,9.0,0.580,3.0,0.1,12.5,9.5,2.4,0.9,1.9,1.6
Cameron Boozer,MEM,PF,72,32,0.500,14.5,0.780,5.0,1.2,18.5,9.5,3.8,1.1,0.8,2.4
AJ Dybantsa,WAS,SF,70,31,0.450,15.5,0.780,4.5,1.6,18.0,6.0,2.8,1.0,0.6,2.5
Michael Porter Jr,BKN,"SF,PF",68,33,0.480,16.5,0.800,4.0,3.0,21.5,7.5,2.5,0.8,0.5,2.0
Jamal Murray,DEN,PG,62,33,0.470,17.5,0.890,4.5,2.6,22.0,4.0,6.5,1.1,0.3,2.4
Aaron Gordon,DEN,"PF,C",66,31,0.540,11.5,0.740,4.0,1.3,15.5,6.5,3.4,0.8,0.6,1.6
Cam Johnson,DEN,"SF,PF",68,31,0.470,13.5,0.870,3.5,2.7,17.0,4.5,3.0,0.9,0.4,1.5
Pascal Siakam,IND,"PF,C",72,33,0.510,15.5,0.760,4.5,1.3,20.0,7.0,3.8,0.9,0.4,2.1
Bennedict Mathurin,NOP,SG,70,26,0.460,12.0,0.830,4.2,1.5,15.5,4.6,2.1,0.7,0.3,1.7
Andrew Nembhard,IND,"SG,PG",70,29,0.470,10.5,0.800,2.5,1.2,12.5,3.0,5.5,1.1,0.2,1.8
Mikal Bridges,NYK,"SF,PF",78,34,0.490,14.5,0.820,2.5,2.2,17.5,4.0,3.5,1.1,0.5,1.5
OG Anunoby,NYK,"SF,PF",70,33,0.490,13.5,0.780,3.0,2.1,16.5,5.0,2.2,1.4,0.7,1.3
Josh Hart,NYK,"SG,SF",74,32,0.520,9.5,0.770,3.0,1.1,12.5,8.5,4.5,1.3,0.3,1.7
Mitchell Robinson,BOS,C,58,24,0.680,4.5,0.500,2.0,0.0,6.5,9.0,1.0,0.8,1.2,0.8
Jalen Williams,OKC,"SF,PF",74,33,0.480,16.5,0.800,4.5,1.7,21.0,5.5,5.0,1.6,0.6,2.4
Isaiah Hartenstein,OKC,C,66,26,0.580,7.5,0.680,2.0,0.0,9.5,9.5,3.5,0.8,1.0,1.4
Luguentz Dort,ATL,SG,72,28,0.440,9.0,0.780,2.0,2.0,11.5,4.0,1.6,1.1,0.4,0.9
Alex Caruso,OKC,PG,62,22,0.450,6.5,0.780,1.5,1.3,8.5,3.0,3.0,1.6,0.5,1.1
Cason Wallace,OKC,PG,72,26,0.480,7.5,0.780,1.5,1.3,9.5,3.5,3.5,1.6,0.4,1.0
Paul George,BOS,"SF,PF",60,31,0.440,14.5,0.830,4.0,2.5,17.5,5.5,4.0,1.5,0.5,2.4
Derrick White,BOS,"SG,PG",74,33,0.450,14.0,0.880,3.5,3.0,17.5,4.2,5.0,1.0,1.0,1.8
Payton Pritchard,BOS,PG,76,30,0.460,13.5,0.850,2.0,3.1,16.5,4.0,4.5,0.9,0.2,1.5
Nikola Vucevic,ORL,C,68,23,0.530,10.5,0.800,2.0,1.1,13.0,7.5,2.4,0.6,0.6,1.4
Sam Hauser,BOS,SF,70,24,0.450,7.5,0.850,1.0,2.4,9.5,3.5,1.5,0.5,0.3,0.7
Neemias Queta,BOS,C,68,22,0.630,5.5,0.680,2.5,0.0,8.0,6.5,1.0,0.6,0.9,1.1
Cam Thomas,FA,SG,62,32,0.440,18.5,0.870,5.5,2.6,24.0,3.5,3.8,0.8,0.2,2.9
Egor Demin,BKN,"PG,SG",70,28,0.420,10.5,0.750,2.0,1.6,11.5,4.5,6.0,1.0,0.3,2.4
Mikel Brown,BKN,PG,65,24,0.410,9.5,0.800,2.0,1.4,10.5,2.5,4.0,0.8,0.2,1.9
Jalen Wilson,ATL,SF,30,12,0.430,4.5,0.800,1.2,0.7,5.5,2.2,1.0,0.3,0.1,0.6
Brandon Miller,CHA,"SF,PF",65,33,0.430,17.0,0.850,4.0,3.0,21.0,5.0,4.0,1.1,0.6,2.6
Kon Knueppel,CHA,"SF,SG",74,31,0.450,12.5,0.870,3.0,2.5,15.5,4.5,3.5,0.9,0.2,1.6
Collin Sexton,LAL,PG,68,29,0.480,13.5,0.850,4.0,1.6,17.5,3.0,4.5,0.9,0.1,2.2
Moussa Diabate,CHA,C,70,25,0.600,6.0,0.650,2.5,0.0,8.5,8.5,1.2,0.8,1.0,1.0
Hannes Steinbach,CHA,C,68,24,0.550,8.0,0.700,3.0,0.3,10.5,8.0,1.5,0.6,0.9,1.5
Liam McNeeley,CHA,SF,70,26,0.420,10.0,0.820,2.5,1.8,12.5,4.5,2.0,0.6,0.2,1.2
Josh Giddey,CHI,"PG,SG",72,33,0.470,14.5,0.800,4.0,1.8,18.5,8.0,7.5,1.3,0.6,3.0
Anfernee Simons,PHI,SG,70,30,0.440,15.0,0.900,4.0,3.0,19.5,3.0,4.2,0.9,0.2,2.1
Coby White,CHA,"PG,SG",68,31,0.440,15.0,0.850,4.0,2.7,19.0,3.8,4.5,0.9,0.2,2.1
Matas Buzelis,CHI,"SF,PF",72,30,0.470,13.0,0.800,3.5,1.7,16.5,6.5,2.5,0.9,1.1,1.8
Caleb Wilson,CHI,PF,70,28,0.490,11.0,0.700,3.5,0.6,13.5,7.5,2.0,1.0,1.3,1.9
Ayo Dosunmu,MIN,"PG,SG",70,27,0.490,10.0,0.800,2.0,1.3,12.5,3.5,4.0,1.0,0.3,1.5
Dailyn Swain,CHI,SF,65,22,0.480,7.5,0.720,2.0,0.6,9.5,4.0,2.0,0.9,0.5,1.2
De'Andre Hunter,SAC,SF,70,28,0.460,11.5,0.830,3.0,2.0,15.0,4.0,1.8,0.8,0.3,1.2
Max Strus,LAC,SG,68,26,0.440,9.0,0.800,1.5,2.2,11.5,3.5,2.5,0.6,0.3,1.0
Dereck Lively,DAL,C,60,26,0.680,6.5,0.650,2.5,0.0,9.5,8.5,1.5,0.7,1.5,1.2
Daniel Gafford,DAL,C,66,24,0.690,6.5,0.680,2.5,0.0,9.5,7.0,1.2,0.5,1.6,1.0
PJ Washington,DAL,"PF,C",70,31,0.470,11.5,0.750,3.5,1.6,14.5,7.5,2.8,1.1,0.9,1.6
Klay Thompson,MIA,SG,64,25,0.420,10.5,0.880,1.5,2.7,12.5,3.2,1.8,0.7,0.4,1.1
Christian Braun,DEN,"SG,SF,PF",74,32,0.520,11.5,0.800,3.0,1.6,15.0,5.0,2.8,1.1,0.4,1.4
Jalen Duren,DET,C,72,30,0.660,9.5,0.700,3.5,0.0,13.5,11.5,2.5,0.7,1.1,1.9
Ausar Thompson,DET,"SF,PF,SG",70,29,0.540,10.0,0.680,3.0,0.2,12.5,7.0,3.5,1.6,0.9,1.7
Jaden Ivey,FA,SG,64,29,0.450,13.5,0.800,4.0,2.0,17.5,4.0,4.0,0.9,0.4,2.2
Isaiah Stewart,MEM,"C,PF",70,24,0.520,7.0,0.750,2.5,0.7,9.5,7.0,1.5,0.6,1.2,1.1
Tobias Harris,SAS,PF,68,27,0.470,10.5,0.830,2.5,1.3,13.5,5.5,2.5,0.7,0.5,1.2
Ebuka Okorie,DET,SG,64,20,0.430,8.5,0.820,2.5,1.1,10.5,2.0,2.0,0.6,0.1,1.3
Jimmy Butler,GSW,"SF,PF",20,29,0.470,11.0,0.850,5.5,0.9,15.5,5.5,4.5,1.2,0.4,1.7
Kristaps Porzingis,GSW,C,58,28,0.480,13.5,0.800,4.5,1.9,18.0,7.0,2.0,0.7,1.6,1.7
Jonathan Kuminga,MIN,PF,66,28,0.470,12.5,0.720,4.5,1.0,15.5,5.5,2.5,0.8,0.5,1.8
Brandin Podziemski,GSW,"SG,PG",70,29,0.450,11.0,0.800,2.0,2.2,13.5,5.0,4.5,1.0,0.3,1.7
Draymond Green,GSW,PF,64,27,0.440,7.5,0.750,2.0,1.1,9.0,6.0,5.5,1.3,0.9,2.1
De'Anthony Melton,GSW,PG,60,24,0.420,8.0,0.780,1.5,1.7,10.0,3.5,3.0,1.4,0.4,1.3
Yaxel Lendeborg,GSW,PF,70,26,0.520,9.0,0.740,2.5,0.8,12.0,7.0,2.5,1.0,0.8,1.4
Jabari Smith Jr,HOU,"PF,C",72,30,0.450,12.0,0.800,3.0,1.9,14.5,8.0,1.5,0.7,0.8,1.2
Reed Sheppard,HOU,"PG,SG",72,24,0.450,10.0,0.860,2.1,2.2,12.5,3.0,3.9,1.2,0.4,1.5
Tari Eason,HOU,"SF,PF,SG",66,26,0.480,9.5,0.760,2.5,1.1,12.0,6.5,1.8,1.6,0.8,1.3
Fred VanVleet,HOU,PG,55,28,0.400,11.5,0.850,2.5,2.4,13.5,3.5,5.5,1.4,0.4,1.7
Clint Capela,HOU,C,64,20,0.620,5.5,0.550,2.0,0.0,7.5,7.5,1.0,0.5,1.0,0.9
Aaron Nesmith,IND,SF,68,28,0.500,9.5,0.850,2.5,2.0,13.0,5.0,1.5,0.9,0.5,1.0
Obi Toppin,IND,PF,72,24,0.520,8.5,0.780,2.0,1.3,11.5,4.5,1.6,0.6,0.5,1.0
Kelly Oubre,IND,SF,68,27,0.470,11.0,0.750,3.5,1.4,14.5,5.5,1.5,1.1,0.5,1.4
John Collins,DET,"PF,C",64,28,0.530,11.5,0.800,3.5,1.2,15.5,7.5,2.0,0.7,0.9,1.4
Brook Lopez,LAC,C,68,26,0.510,9.0,0.800,2.0,1.4,12.0,5.0,1.6,0.6,1.8,1.2
Bogdan Bogdanovic,HOU,SG,62,27,0.440,11.5,0.840,2.0,2.6,14.5,3.5,3.5,1.1,0.3,1.8
Derrick Jones Jr,LAC,SF,68,25,0.520,7.5,0.720,2.0,1.0,10.0,4.0,1.2,1.0,0.7,0.9
Andre Drummond,NYK,C,60,18,0.550,5.5,0.550,2.0,0.0,7.0,7.5,0.8,0.8,0.8,1.2
Austin Reaves,LAL,"SG,PG,SF",72,34,0.470,15.5,0.880,6.0,2.6,21.5,4.8,6.5,1.1,0.3,2.6
Rui Hachimura,LAC,PF,68,28,0.500,10.5,0.780,2.0,1.4,13.5,5.0,1.5,0.8,0.4,1.0
Marcus Smart,HOU,PG,60,25,0.410,8.5,0.780,2.0,1.5,10.0,3.0,4.5,1.5,0.4,1.7
Dalton Knecht,LAL,SG,68,24,0.450,9.5,0.800,1.5,2.1,12.0,3.0,1.5,0.6,0.2,1.0
Zach Edey,MEM,C,70,28,0.590,10.0,0.720,4.0,0.1,14.5,11.5,1.5,0.6,1.5,1.7
Jerami Grant,MEM,"PF,SF",64,29,0.450,12.5,0.830,4.5,1.9,16.5,4.5,2.5,0.9,0.7,1.6
GG Jackson,MEM,PF,68,28,0.440,12.5,0.780,3.5,1.9,15.5,5.5,1.8,0.8,0.6,1.7
Jaylen Wells,MEM,SG,72,28,0.450,10.0,0.820,2.5,1.7,12.5,3.5,2.0,0.8,0.3,1.1
Santi Aldama,DAL,PF,68,26,0.480,10.0,0.750,2.0,1.5,12.5,6.5,2.5,0.7,0.6,1.3
Kris Murray,MEM,SF,68,24,0.440,7.5,0.720,1.5,1.1,9.0,4.5,1.5,0.8,0.5,0.9
Norman Powell,CHI,"SG,SF",66,30,0.470,14.0,0.810,3.5,2.7,19.0,3.5,2.5,1.1,0.3,1.7
Andrew Wiggins,MIA,"SG,SF,PF",66,29,0.460,12.5,0.760,3.5,1.7,16.0,4.5,2.5,1.0,0.6,1.5
Bobby Portis,MIA,"PF,C",68,24,0.470,10.0,0.800,2.0,1.5,12.5,7.5,1.8,0.6,0.3,1.1
Davion Mitchell,MIA,PG,70,26,0.450,8.0,0.750,1.5,1.2,10.0,2.5,5.0,1.0,0.2,1.5
Kyle Kuzma,MIL,PF,66,28,0.460,12.5,0.720,3.0,1.6,15.5,6.0,2.8,0.6,0.5,1.9
Kasparas Jakucionis,MIL,PG,70,28,0.430,11.0,0.800,3.0,1.5,13.5,3.5,6.0,1.0,0.2,2.6
Gary Trent Jr,MIL,SG,68,26,0.430,10.5,0.830,1.5,2.4,13.0,3.0,1.5,1.0,0.2,0.9
AJ Green,MIL,SG,72,24,0.440,8.0,0.850,1.0,2.5,10.5,2.5,1.5,0.5,0.2,0.6
Kevin Porter Jr,MIL,"PG,SG",66,24,0.430,9.5,0.780,2.0,1.5,11.5,4.0,3.5,0.9,0.3,1.6
Julius Randle,BKN,PF,68,34,0.475,17.0,0.780,6.5,1.6,22.5,8.0,5.5,0.8,0.3,3.2
Jaden McDaniels,MIN,SF,74,31,0.470,11.5,0.800,2.5,1.7,14.5,6.0,2.2,1.3,0.9,1.3
Naz Reid,CHA,"C,PF",74,26,0.480,11.0,0.780,2.0,1.9,14.0,6.5,2.3,0.8,0.9,1.5
Rob Dillingham,CHI,PG,66,24,0.450,10.5,0.820,2.0,1.6,13.0,2.5,5.0,1.0,0.1,2.0
Terrence Shannon Jr,MIN,SG,70,25,0.470,9.5,0.780,3.0,1.2,13.0,4.0,2.5,0.9,0.3,1.3
Donte DiVincenzo,MIN,SG,15,24,0.420,9.0,0.800,1.5,2.2,11.5,3.5,3.0,1.1,0.2,1.3
Trey Murphy III,NOP,"SG,SF",70,33,0.470,15.0,0.880,4.0,2.9,20.5,5.5,3.8,1.1,0.7,2.0
Dejounte Murray,NOP,PG,62,30,0.440,14.5,0.790,3.5,2.0,17.5,5.5,6.0,1.4,0.3,2.6
Herb Jones,NOP,"SG,SF",66,29,0.480,8.5,0.780,2.5,1.2,11.5,4.5,2.8,1.7,0.8,1.4
Jeremiah Fears,NOP,"PG,SG",70,29,0.440,13.0,0.780,4.0,1.4,16.5,3.5,5.5,1.2,0.2,2.8
Yves Missi,NOP,C,66,24,0.580,6.5,0.620,2.5,0.0,9.0,8.0,1.3,0.6,1.2,1.2
Derik Queen,NOP,"C,PF",68,25,0.520,9.5,0.720,3.0,0.3,12.5,8.0,2.8,0.9,0.8,1.9
Jordan Poole,NOP,SG,65,30,0.440,15.5,0.880,4.0,3.0,19.5,3.0,4.5,1.2,0.3,2.8
Cam Whitmore,DEN,SF,30,17,0.460,7.5,0.740,2.0,1.0,9.5,3.2,1.0,0.6,0.3,1.1
Jalen Suggs,ORL,"PG,SG",60,29,0.440,12.0,0.800,3.5,2.2,15.5,3.8,4.5,1.5,0.5,2.2
Wendell Carter Jr,ORL,C,66,27,0.500,9.5,0.720,3.0,0.9,12.5,8.5,2.5,0.7,0.7,1.5
Anthony Black,ORL,"PG,SG,SF",72,26,0.450,9.0,0.780,2.5,1.1,11.5,3.5,4.0,1.1,0.4,1.4
Jared McCain,OKC,SG,66,28,0.450,12.5,0.860,2.5,2.4,16.0,3.0,3.5,0.8,0.2,1.7
VJ Edgecombe,PHI,"SG,PG",72,29,0.440,11.5,0.780,3.0,1.7,14.5,4.5,3.5,1.4,0.5,1.7
Quentin Grimes,LAL,"SG,SF",66,27,0.460,11.0,0.790,2.5,2.0,14.0,3.5,2.8,1.0,0.3,1.5
Labaron Philon,PHI,PG,64,20,0.450,7.5,0.800,2.0,0.8,9.5,2.5,3.0,0.8,0.2,1.3
Jalen Green,PHX,"SG,SF",70,32,0.430,17.0,0.820,5.0,2.7,21.5,4.5,3.8,0.9,0.3,2.6
Dillon Brooks,PHX,SF,68,28,0.430,11.0,0.800,2.5,1.9,14.0,3.5,2.0,0.9,0.4,1.5
Mark Williams,PHX,C,15,26,0.600,8.5,0.720,3.5,0.0,12.5,9.5,2.0,0.6,1.2,1.6
Khaman Maluach,PHX,C,70,24,0.620,6.0,0.640,2.5,0.1,8.5,7.5,1.0,0.5,1.5,1.1
Royce O'Neale,CHA,SF,70,25,0.430,7.5,0.800,1.0,1.9,9.5,4.5,2.5,0.8,0.4,1.0
Grayson Allen,CHA,SG,64,24,0.450,8.5,0.870,1.5,2.2,11.5,3.0,2.5,0.8,0.2,1.1
Shaedon Sharpe,POR,"PG,SG",18,31,0.460,15.0,0.800,4.0,2.1,19.0,4.5,3.5,0.9,0.4,2.1
Jrue Holiday,POR,"PG,SG",62,28,0.440,10.0,0.800,2.0,1.8,12.5,4.0,5.5,1.3,0.5,1.8
Toumani Camara,POR,"SF,PF",74,30,0.470,9.5,0.720,2.5,1.4,12.0,6.0,2.5,1.5,0.7,1.3
Donovan Clingan,POR,C,68,26,0.550,7.5,0.620,2.0,0.0,9.5,9.5,1.8,0.7,1.9,1.3
Scoot Henderson,POR,PG,66,24,0.430,10.0,0.780,3.0,1.2,13.0,3.0,4.5,0.9,0.3,2.2
Damian Lillard,POR,PG,45,26,0.420,12.5,0.900,4.5,2.5,17.0,3.5,5.5,0.9,0.2,2.2
DeMar DeRozan,DEN,"SF,PF",70,27,0.480,12.5,0.850,4.5,0.8,16.0,3.5,3.6,0.8,0.4,1.7
Zach LaVine,SAC,"PG,SG,SF",64,31,0.470,15.5,0.850,4.0,2.8,20.5,4.0,3.5,0.9,0.3,2.1
Keegan Murray,SAC,"SF,PF",72,32,0.450,11.5,0.780,2.0,2.2,14.0,6.5,1.5,0.9,0.7,1.1
Malik Monk,SAC,SG,64,26,0.440,11.0,0.850,3.0,1.9,14.5,3.0,4.5,0.9,0.3,1.9
Darius Acuff,SAC,PG,68,26,0.430,12.0,0.820,3.0,1.9,15.0,2.8,4.5,0.9,0.2,2.3
Keon Ellis,BKN,SG,70,25,0.470,7.0,0.830,1.5,1.5,9.5,3.0,2.0,1.4,0.5,0.9
Stephon Castle,SAS,"PG,SG",74,32,0.460,14.5,0.780,4.5,1.5,18.5,5.0,6.0,1.2,0.4,2.6
Dylan Harper,SAS,"SG,PG",70,29,0.460,13.0,0.760,4.0,1.4,16.5,4.0,4.5,1.1,0.4,2.2
Devin Vassell,SAS,SG,68,28,0.450,12.0,0.800,2.5,2.3,15.0,4.0,3.0,1.0,0.4,1.4
Keldon Johnson,SAS,SF,72,25,0.480,10.0,0.780,2.5,1.2,13.0,5.5,1.5,0.7,0.3,1.2
Jeremy Sochan,POR,PF,58,16,0.500,5.0,0.720,1.3,0.3,6.3,4.3,1.7,0.7,0.3,0.9
Brandon Ingram,LAC,"SG,SF,PF",64,32,0.470,15.5,0.830,4.5,1.8,20.0,5.5,4.5,0.8,0.6,2.4
RJ Barrett,TOR,"SF,PF,SG",66,30,0.460,14.0,0.720,4.5,1.6,17.5,5.5,4.0,0.8,0.3,2.2
Immanuel Quickley,TOR,"PG,SG",66,29,0.430,12.5,0.870,3.0,2.5,16.0,3.5,5.5,0.9,0.2,1.9
Jakob Poeltl,TOR,C,66,27,0.610,8.5,0.600,3.0,0.0,11.5,9.0,2.5,0.9,1.1,1.4
Kawhi Leonard,TOR,"SG,SF,PF",35,30,0.500,15.0,0.850,4.5,1.9,21.0,6.0,3.5,1.6,0.6,1.8
Gradey Dick,LAC,SG,64,24,0.440,9.5,0.830,2.0,1.9,12.0,3.0,1.5,0.7,0.2,1.0
Darryn Peterson,UTA,SG,68,28,0.440,13.5,0.810,4.0,1.7,17.0,3.8,3.5,1.1,0.5,2.4
Keyonte George,UTA,"SG,PG",70,32,0.445,15.5,0.830,4.5,2.9,20.5,3.8,5.8,0.9,0.1,2.9
Kyle Filipowski,UTA,C,72,28,0.500,11.5,0.720,3.0,1.3,15.0,8.5,2.8,0.7,0.7,1.7
Ace Bailey,UTA,SF,68,28,0.440,12.5,0.780,3.0,1.6,15.5,6.0,1.8,0.8,0.7,1.7
Isaiah Collier,UTA,PG,66,25,0.450,9.0,0.720,2.5,0.8,11.0,3.0,6.5,1.1,0.2,2.5
Brice Sensabaugh,UTA,SF,64,22,0.450,9.5,0.830,1.5,1.9,12.0,3.0,1.5,0.5,0.2,1.0
Alex Sarr,WAS,C,72,29,0.460,12.0,0.720,3.0,1.3,14.5,8.5,2.8,0.8,1.7,1.8
Bilal Coulibaly,WAS,SF,68,28,0.450,10.5,0.750,3.0,1.3,13.0,5.0,3.5,1.4,0.7,1.8
Khris Middleton,WAS,SF,58,24,0.440,9.5,0.850,2.0,1.5,11.5,4.0,3.5,0.8,0.2,1.5
Bub Carrington,WAS,PG,72,27,0.420,10.5,0.800,2.0,1.9,12.5,4.0,4.5,0.8,0.2,1.8
Tre Johnson,WAS,SG,68,26,0.440,11.5,0.850,2.5,2.1,14.5,3.0,2.5,0.7,0.2,1.4
CJ McCollum,ATL,"SG,PG",64,28,0.450,13.0,0.820,2.5,2.5,16.5,3.5,4.0,0.9,0.3,1.8
Dyson Daniels,ATL,"SG,SF",74,32,0.480,11.0,0.680,2.5,1.2,13.5,5.5,4.5,2.8,0.7,1.6
Onyeka Okongwu,ATL,C,72,30,0.560,10.5,0.760,3.0,0.6,14.5,9.5,2.5,0.9,1.1,1.4
Zaccharie Risacher,DAL,SF,72,29,0.470,11.5,0.780,2.5,1.9,14.5,4.5,1.8,0.9,0.6,1.3
Nickeil Alexander-Walker,ATL,"PG,SG",72,29,0.440,11.5,0.800,2.5,2.2,14.5,3.5,4.0,1.2,0.5,1.6
Zuby Ejiofor,ATL,PF,62,18,0.520,5.5,0.720,2.0,0.1,7.5,5.0,1.0,0.5,1.0,0.9
Nikola Jovic,MIA,PF,64,24,0.460,8.5,0.800,2.0,1.4,11.0,4.5,2.5,0.7,0.3,1.3
Jaime Jaquez Jr,MIL,"SF,SG,PF",68,26,0.470,9.5,0.760,2.5,0.7,11.5,5.0,3.0,0.9,0.3,1.5
